Date,Home_Team,Away_Team,Period,Clock,Home_Team_Skaters,Away_Team_Skaters,Home_Team_Goals,Away_Team_Goals,Team,Player_Id,Event,X_Coordinate,Y_Coordinate,Detail_1,Detail_2,Detail_3,Detail_4,Player_Id_2,X_Coordinate_2,Y_Coordinate_2
10/13/2024,Team A,Team B,1,18:24,5,5,0,0,Team A,25,Play,-34,-38.5,Indirect,,,,24,-97,0.5
10/13/2024,Team A,Team B,1,18:20,5,5,0,0,Team B,3,Puck Recovery,-88,34.5,,,,,,,
10/13/2024,Team A,Team B,1,18:20,5,5,0,0,Team B,3,Play,-81,39.5,Direct,,,,18,-68,32.5
10/13/2024,Team A,Team B,1,18:18,5,5,0,0,Team B,18,Play,-40,36.5,Direct,,,,10,-18,22.5
10/13/2024,Team A,Team B,1,18:17,5,5,0,0,Team B,10,Play,4,22.5,Direct,,,,29,13,34.5
10/13/2024,Team A,Team B,1,18:16,5,5,0,0,Team B,29,Zone Entry,25,35.5,Carried,,,,27,,
10/13/2024,Team A,Team B,1,18:14,5,5,0,0,Team B,29,Incomplete Play,60,25.5,Direct,,,,10,63,-2.5
10/13/2024,Team A,Team B,1,18:12,5,5,0,0,Team B,10,Puck Recovery,53,-34.5,,,,,,,
10/13/2024,Team A,Team B,1,18:12,5,5,0,0,Team B,10,Play,53,-37.5,Indirect,,,,18,85,-33.5
10/13/2024,Team A,Team B,1,18:10,5,5,0,0,Team B,18,Play,93,-26.5,Direct,,,,29,93,-22.5
10/13/2024,Team A,Team B,1,18:04,5,5,0,0,Team B,29,Puck Recovery,68,-38.5,,,,,,,
10/13/2024,Team A,Team B,1,18:04,5,5,0,0,Team B,29,Incomplete Play,68,-38.5,Direct,,,,18,58,-4.5
10/13/2024,Team A,Team B,1,18:03,5,5,0,0,Team A,24,Takeaway,62,-18.5,,,,,,,
10/13/2024,Team A,Team B,1,18:02,5,5,0,0,Team A,24,Dump In/Out,57,-16.5,Lost,,,,,,
10/13/2024,Team A,Team B,1,17:58,5,5,0,0,Team B,4,Puck Recovery,-33,40.5,,,,,,,
10/13/2024,Team A,Team B,1,17:54,5,5,0,0,Team B,4,Play,-43,18.5,Direct,,,,29,21,36.5
10/13/2024,Team A,Team B,1,17:51,5,5,0,0,Team A,Go,Puck Recovery,97,0.5,,,,,,,
10/13/2024,Team A,Team B,1,17:50,5,5,0,0,Team A,Go,Play,95,-1.5,Direct,,,,27,92,16.5
10/13/2024,Team A,Team B,1,17:46,5,5,0,0,Team A,27,Play,75,-0.5,Direct,,,,6,59,-31.5
10/13/2024,Team A,Team B,1,17:45,5,5,0,0,Team A,6,Play,40,-37.5,Direct,,,,8,-17,-36.5
10/13/2024,Team A,Team B,1,17:40,5,5,0,0,Team A,14,Puck Recovery,-81,37.5,,,,,,,
10/13/2024,Team A,Team B,1,17:40,5,5,0,0,Team A,14,Play,-83,38.5,Indirect,,,,29,-67,40.5
10/13/2024,Team A,Team B,1,17:39,5,5,0,0,Team A,29,Incomplete Play,-56,39.5,Direct,,,,8,-49,-1.5
10/13/2024,Team A,Team B,1,17:37,5,5,0,0,Team B,19,Puck Recovery,-33,7.5,,,,,,,
10/13/2024,Team A,Team B,1,17:35,5,5,0,0,Team B,19,Incomplete Play,11,9.5,Direct,,,,38,30,37.5
10/13/2024,Team A,Team B,1,17:34,5,5,0,0,Team B,19,Zone Entry,24,34.5,Played,,,,7,,
10/13/2024,Team A,Team B,1,17:33,5,5,0,0,Team B,38,Puck Recovery,53,37.5,,,,,,,
10/13/2024,Team A,Team B,1,17:33,5,5,0,0,Team B,38,Play,53,37.5,Direct,,,,23,73,25.5
10/13/2024,Team A,Team B,1,17:32,5,5,0,0,Team B,23,Incomplete Play,85,26.5,Indirect,,,,19,90,-5.5
10/13/2024,Team A,Team B,1,17:31,5,5,0,0,Team A,2,Puck Recovery,96,3.5,,,,,,,
10/13/2024,Team A,Team B,1,17:26,5,5,0,0,Team A,2,Incomplete Play,97,-2.5,Indirect,,,,29,52,37.5
10/13/2024,Team A,Team B,1,17:24,5,5,0,0,Team B,40,Puck Recovery,52,39.5,,,,,,,
10/13/2024,Team A,Team B,1,17:24,5,5,0,0,Team B,40,Play,52,39.5,Indirect,,,,23,76,-38.5
10/13/2024,Team A,Team B,1,17:21,5,5,0,0,Team B,23,Play,76,-38.5,Indirect,,,,14,29,-39.5
10/13/2024,Team A,Team B,1,17:19,5,5,0,0,Team B,14,Shot,29,-39.5,Snapshot,On Net,0,f,,,
10/13/2024,Team A,Team B,1,17:17,5,5,0,0,Team A,14,Puck Recovery,55,3.5,,,,,,,
10/13/2024,Team A,Team B,1,17:17,5,5,0,0,Team A,14,Incomplete Play,66,2.5,Direct,,,,8,10,-16.5
10/13/2024,Team A,Team B,1,17:14,5,5,0,0,Team B,14,Puck Recovery,12,-34.5,,,,,,,
10/13/2024,Team A,Team B,1,17:14,5,5,0,0,Team A,15,Faceoff Win,0,0.5,Feet,,,,15,,
10/13/2024,Team A,Team B,1,17:11,5,5,0,0,Team A,3,Puck Recovery,25,-13.5,,,,,,,
10/13/2024,Team A,Team B,1,17:09,5,5,0,0,Team A,3,Play,43,-30.5,Direct,,,,38,50,12.5
10/13/2024,Team A,Team B,1,17:07,5,5,0,0,Team A,38,Play,48,26.5,Direct,,,,21,-8,19.5
10/13/2024,Team A,Team B,1,17:05,5,5,0,0,Team B,Go,Puck Recovery,-87,6.5,,,,,,,
10/13/2024,Team A,Team B,1,17:04,5,5,0,0,Team B,Go,Play,-93,8.5,Indirect,,,,14,-97,4.5
10/13/2024,Team A,Team B,1,17:02,5,5,0,0,Team B,14,Play,-95,-14.5,Direct,,,,20,-51,-38.5
10/13/2024,Team A,Team B,1,17:02,5,5,0,0,Team B,20,Play,-51,-38.5,Direct,,,,28,-41,-12.5
10/13/2024,Team A,Team B,1,16:59,5,5,0,0,Team B,28,Dump In/Out,4,-38.5,Lost,,,,,,
10/13/2024,Team A,Team B,1,16:59,5,5,0,0,Team B,28,Zone Entry,4,-38.5,Dumped,,,,3,,
10/13/2024,Team A,Team B,1,16:55,5,5,0,0,Team A,38,Puck Recovery,98,-13.5,,,,,,,
10/13/2024,Team A,Team B,1,16:55,5,5,0,0,Team A,38,Play,98,-13.5,Indirect,,,,21,93,-28.5
10/13/2024,Team A,Team B,1,16:53,5,5,0,0,Team A,21,Incomplete Play,93,-28.5,Indirect,,,,26,69,-38.5
10/13/2024,Team A,Team B,1,16:51,5,5,0,0,Team A,3,Puck Recovery,65,-27.5,,,,,,,
10/13/2024,Team A,Team B,1,16:50,5,5,0,0,Team A,3,Play,37,-19.5,Direct,,,,15,12,17.5
10/13/2024,Team A,Team B,1,16:47,5,5,0,0,Team A,15,Dump In/Out,-19,38.5,Lost,,,,,,
10/13/2024,Team A,Team B,1,16:47,5,5,0,0,Team A,15,Zone Entry,-19,38.5,Dumped,,,,40,,
10/13/2024,Team A,Team B,1,16:44,5,5,0,0,Team B,Go,Puck Recovery,-97,-0.5,,,,,,,
10/13/2024,Team A,Team B,1,16:43,5,5,0,0,Team B,Go,Play,-97,-2.5,Direct,,,,14,-96,-10.5
10/13/2024,Team A,Team B,1,16:39,5,5,0,0,Team B,14,Play,-44,-13.5,Direct,,,,40,-38,29.5
10/13/2024,Team A,Team B,1,16:36,5,5,0,0,Team B,40,Dump In/Out,1,38.5,Lost,,,,,,
10/13/2024,Team A,Team B,1,16:36,5,5,0,0,Team B,40,Zone Entry,1,38.5,Dumped,,,,38,,
10/13/2024,Team A,Team B,1,16:32,5,5,0,0,Team A,3,Puck Recovery,92,-30.5,,,,,,,
10/13/2024,Team A,Team B,1,16:31,5,5,0,0,Team A,3,Play,86,-32.5,Indirect,,,,26,68,-39.5
10/13/2024,Team A,Team B,1,16:30,5,5,0,0,Team A,26,Play,66,-35.5,Direct,,,,28,56,-30.5
10/13/2024,Team A,Team B,1,16:29,5,5,0,0,Team A,28,Dump In/Out,37,-38.5,Lost,,,,,,
10/13/2024,Team A,Team B,1,16:25,5,5,0,0,Team B,25,Puck Recovery,-43,-38.5,,,,,,,
10/13/2024,Team A,Team B,1,16:25,5,5,0,0,Team B,25,Play,-43,-38.5,Indirect,,,,10,-15,-39.5
10/13/2024,Team A,Team B,1,16:21,5,5,0,0,Team B,10,Zone Entry,26,-10.5,Carried,,,,6,,
10/13/2024,Team A,Team B,1,16:20,5,5,0,0,Team B,10,Play,47,-31.5,Indirect,,,,25,95,17.5
10/13/2024,Team A,Team B,1,16:17,5,5,0,0,Team B,25,Incomplete Play,94,19.5,Direct,,,,9,75,2.5
10/13/2024,Team A,Team B,1,16:13,5,5,0,0,Team B,9,Puck Recovery,84,26.5,,,,,,,
10/13/2024,Team A,Team B,1,16:09,5,5,0,0,Team B,9,Play,37,38.5,Indirect,,,,2,88,-32.5
10/13/2024,Team A,Team B,1,16:04,5,5,0,0,Team A,6,Puck Recovery,87,-28.5,,,,,,,
10/13/2024,Team A,Team B,1,16:04,5,5,0,0,Team A,6,Incomplete Play,87,-28.5,Indirect,,,,20,45,-37.5
10/13/2024,Team A,Team B,1,16:02,5,5,0,0,Team B,25,Takeaway,57,-38.5,,,,,,,
10/13/2024,Team A,Team B,1,16:01,5,5,0,0,Team B,25,Incomplete Play,53,-38.5,Direct,,,,2,68,-30.5
10/13/2024,Team A,Team B,1,16:01,5,5,0,0,Team A,6,Takeaway,60,-35.5,,,,,,,
10/13/2024,Team A,Team B,1,15:58,5,5,0,0,Team A,6,Play,63,-38.5,Indirect,,,,12,7,-37.5
10/13/2024,Team A,Team B,1,15:56,5,5,0,0,Team A,20,Puck Recovery,-20,-35.5,,,,,,,
10/13/2024,Team A,Team B,1,15:56,5,5,0,0,Team A,20,Zone Entry,-26,-38.5,Carried,,,,3,,
10/13/2024,Team A,Team B,1,15:53,5,5,0,0,Team B,25,Puck Recovery,-20,-37.5,,,,,,,
10/13/2024,Team A,Team B,1,15:51,5,5,0,0,Team B,25,Play,-22,-37.5,Direct,,,,3,-35,-8.5
10/13/2024,Team A,Team B,1,15:49,5,5,0,0,Team B,3,Dump In/Out,1,13.5,Lost,,,,,,
10/13/2024,Team A,Team B,1,15:45,5,5,0,0,Team A,12,Puck Recovery,60,-36.5,,,,,,,
10/13/2024,Team A,Team B,1,15:42,5,5,0,0,Team A,12,Play,48,-0.5,Direct,,,,28,9,-38.5
10/13/2024,Team A,Team B,1,15:40,5,5,0,0,Team A,28,Dump In/Out,-9,-38.5,Lost,,,,,,
10/13/2024,Team A,Team B,1,15:37,5,5,0,0,Team B,4,Puck Recovery,-96,-19.5,,,,,,,
10/13/2024,Team A,Team B,1,15:37,5,5,0,0,Team B,4,Incomplete Play,-96,-19.5,Indirect,,,,18,-42,-38.5
10/13/2024,Team A,Team B,1,15:34,5,5,0,0,Team A,24,Puck Recovery,-24,-38.5,,,,,,,
10/13/2024,Team A,Team B,1,15:32,5,5,0,0,Team A,24,Play,4,-18.5,Direct,,,,7,22,13.5
10/13/2024,Team A,Team B,1,15:30,5,5,0,0,Team A,7,Play,39,26.5,Direct,,,,2,41,-25.5
10/13/2024,Team A,Team B,1,15:27,5,5,0,0,Team A,2,Play,5,-39.5,Direct,,,,17,-12,-8.5
10/13/2024,Team A,Team B,1,15:26,5,5,0,0,Team A,17,Zone Entry,-26,-12.5,Carried,,,,4,,
10/13/2024,Team A,Team B,1,15:25,5,5,0,0,Team A,17,Shot,-42,-6.5,Snapshot,On Net,1,f,,,
10/13/2024,Team A,Team B,1,15:22,5,5,0,0,Team B,8,Puck Recovery,-94,-24.5,,,,,,,
10/13/2024,Team A,Team B,1,15:20,5,5,0,0,Team B,8,Incomplete Play,-97,-3.5,Direct,,,,4,-92,10.5
10/13/2024,Team A,Team B,1,15:17,5,5,0,0,Team B,8,Puck Recovery,-71,40.5,,,,,,,
10/13/2024,Team A,Team B,1,15:16,5,5,0,0,Team B,8,Incomplete Play,-57,39.5,Indirect,,,,19,-2,39.5
10/13/2024,Team A,Team B,1,15:13,5,5,0,0,Team B,8,Puck Recovery,-60,40.5,,,,,,,
10/13/2024,Team A,Team B,1,15:13,5,5,0,0,Team B,8,Play,-60,40.5,Indirect,,,,4,-95,-19.5
10/13/2024,Team A,Team B,1,15:11,5,5,0,0,Team B,4,Incomplete Play,-90,-21.5,Direct,,,,18,-71,-16.5
10/13/2024,Team A,Team B,1,15:09,5,5,0,0,Team A,24,Puck Recovery,-36,-10.5,,,,,,,
10/13/2024,Team A,Team B,1,15:09,5,5,0,0,Team A,24,Incomplete Play,-34,-11.5,Direct,,,,25,-64,1.5
10/13/2024,Team A,Team B,1,15:08,5,5,0,0,Team B,8,Puck Recovery,-68,-7.5,,,,,,,
10/13/2024,Team A,Team B,1,15:04,5,5,0,0,Team B,8,Play,-86,-35.5,Indirect,,,,4,-96,12.5
10/13/2024,Team A,Team B,1,14:58,5,5,0,0,Team A,24,Puck Recovery,-82,36.5,,,,,,,
10/13/2024,Team A,Team B,1,14:58,5,5,0,0,Team A,24,Incomplete Play,-82,36.5,Indirect,,,,17,-88,34.5
10/13/2024,Team A,Team B,1,14:55,5,5,0,0,Team B,18,Puck Recovery,-96,22.5,,,,,,,
10/13/2024,Team A,Team B,1,14:55,5,5,0,0,Team B,18,Incomplete Play,-96,22.5,Indirect,,,,29,-69,-33.5
10/13/2024,Team A,Team B,1,14:49,5,5,0,0,Team A,7,Puck Recovery,93,25.5,,,,,,,
10/13/2024,Team A,Team B,1,14:49,5,5,0,0,Team A,14,Faceoff Win,-69,22.5,Backhand,,,,18,,
10/13/2024,Team A,Team B,1,14:47,5,5,0,0,Team A,38,Puck Recovery,-29,39.5,,,,,,,
10/13/2024,Team A,Team B,1,14:46,5,5,0,0,Team A,38,Play,-35,36.5,Direct,,,,3,-34,-27.5
10/13/2024,Team A,Team B,1,14:44,5,5,0,0,Team A,3,Shot,-35,-32.5,Snapshot,Missed,1,f,,,
10/13/2024,Team A,Team B,1,14:44,5,5,0,0,Team A,14,Shot,-84,-5.5,Deflection,On Net,0,f,,,
10/13/2024,Team A,Team B,1,14:41,5,5,0,0,Team B,18,Puck Recovery,-91,-21.5,,,,,,,
10/13/2024,Team A,Team B,1,14:41,5,5,0,0,Team B,18,Play,-86,-21.5,Indirect,,,,19,-74,-38.5
10/13/2024,Team A,Team B,1,14:37,5,5,0,0,Team A,14,Puck Recovery,-96,-26.5,,,,,,,
10/13/2024,Team A,Team B,1,14:36,5,5,0,0,Team A,14,Incomplete Play,-93,-25.5,Direct,,,,29,-67,-13.5
10/13/2024,Team A,Team B,1,14:33,5,5,0,0,Team A,29,Puck Recovery,-88,-30.5,,,,,,,
10/13/2024,Team A,Team B,1,14:32,5,5,0,0,Team A,29,Play,-85,-36.5,Direct,,,,14,-86,-29.5
10/13/2024,Team A,Team B,1,14:30,5,5,0,0,Team A,14,Play,-63,-30.5,Direct,,,,38,-29,13.5
10/13/2024,Team A,Team B,1,14:28,5,5,0,0,Team A,38,Shot,-37,32.5,Snapshot,Blocked,1,f,,,
10/13/2024,Team A,Team B,1,14:26,5,5,0,0,Team A,38,Puck Recovery,-40,39.5,,,,,,,
10/13/2024,Team A,Team B,1,14:26,5,5,0,0,Team A,38,Incomplete Play,-40,39.5,Direct,,,,29,-81,31.5
10/13/2024,Team A,Team B,1,14:25,5,5,0,0,Team B,19,Takeaway,-69,32.5,,,,,,,
10/13/2024,Team A,Team B,1,14:24,5,5,0,0,Team B,19,Dump In/Out,-43,34.5,Lost,,,,,,
10/13/2024,Team A,Team B,1,14:22,5,5,0,0,Team A,3,Puck Recovery,35,31.5,,,,,,,
10/13/2024,Team A,Team B,1,14:20,5,5,0,0,Team A,3,Play,44,10.5,Direct,,,,8,-21,-38.5
10/13/2024,Team A,Team B,1,14:19,5,5,0,0,Team A,8,Zone Entry,-25,-39.5,Carried,,,,27,,
10/13/2024,Team A,Team B,1,14:18,5,5,0,0,Team A,8,Play,-43,-38.5,Direct,,,,14,-70,-22.5
10/13/2024,Team A,Team B,1,14:16,5,5,0,0,Team B,40,Puck Recovery,-97,-22.5,,,,,,,
10/13/2024,Team A,Team B,1,14:16,5,5,0,0,Team B,40,Incomplete Play,-97,-22.5,Indirect,,,,27,-81,-34.5
10/13/2024,Team A,Team B,1,14:14,5,5,0,0,Team A,8,Puck Recovery,-61,-38.5,,,,,,,
10/13/2024,Team A,Team B,1,14:14,5,5,0,0,Team A,8,Shot,-61,-38.5,Snapshot,Missed,0,f,,,
10/13/2024,Team A,Team B,1,14:11,5,5,0,0,Team A,27,Puck Recovery,-55,38.5,,,,,,,
10/13/2024,Team A,Team B,1,14:09,5,5,0,0,Team B,23,Puck Recovery,-94,28.5,,,,,,,
10/13/2024,Team A,Team B,1,14:09,5,5,0,0,Team B,23,Play,-96,26.5,Indirect,,,,40,-96,-17.5
10/13/2024,Team A,Team B,1,14:03,5,5,0,0,Team B,40,Play,-55,-16.5,Direct,,,,23,-6,-7.5
10/13/2024,Team A,Team B,1,14:02,5,5,0,0,Team B,38,Puck Recovery,8,-8.5,,,,,,,
10/13/2024,Team A,Team B,1,14:02,5,5,0,0,Team B,38,Play,8,-8.5,Direct,,,,23,14,-22.5
10/13/2024,Team A,Team B,1,14:01,5,5,0,0,Team B,23,Play,19,-23.5,Direct,,,,20,32,-38.5
10/13/2024,Team A,Team B,1,14:01,5,5,0,0,Team B,23,Zone Entry,25,-39.5,Played,,,,6,,
10/13/2024,Team A,Team B,1,13:59,5,5,0,0,Team B,20,Shot,54,-35.5,Snapshot,On Net,0,f,,,
10/13/2024,Team A,Team B,1,13:56,5,5,0,0,Team B,27,Puck Recovery,72,40.5,,,,,,,
10/13/2024,Team A,Team B,1,13:55,5,5,0,0,Team B,27,Incomplete Play,81,36.5,Direct,,,,23,96,-0.5
10/13/2024,Team A,Team B,1,13:54,5,5,0,0,Team A,27,Puck Recovery,96,15.5,,,,,,,
10/13/2024,Team A,Team B,1,13:53,5,5,0,0,Team A,27,Incomplete Play,95,20.5,Direct,,,,8,62,-1.5
10/13/2024,Team A,Team B,1,13:53,5,5,0,0,Team B,20,Puck Recovery,43,4.5,,,,,,,
10/13/2024,Team A,Team B,1,13:53,5,5,0,0,Team B,20,Shot,49,6.5,Snapshot,On Net,0,f,,,
10/13/2024,Team A,Team B,1,13:51,5,5,0,0,Team A,15,Faceoff Win,69,22.5,Backhand,,,,10,,
10/13/2024,Team A,Team B,1,13:48,5,5,0,0,Team A,7,Puck Recovery,93,24.5,,,,,,,
10/13/2024,Team A,Team B,1,13:45,5,5,0,0,Team A,7,Play,79,35.5,Direct,,,,2,93,20.5
10/13/2024,Team A,Team B,1,13:41,5,5,0,0,Team A,2,Play,91,-22.5,Indirect,,,,7,88,29.5
10/13/2024,Team A,Team B,1,13:38,5,5,0,0,Team A,7,Incomplete Play,67,40.5,Direct,,,,21,-12,34.5
10/13/2024,Team A,Team B,1,13:36,5,5,0,0,Team B,10,Puck Recovery,9,10.5,,,,,,,
10/13/2024,Team A,Team B,1,13:36,5,5,0,0,Team B,10,Play,9,10.5,Direct,,,,15,0,7.5
10/13/2024,Team A,Team B,1,13:33,5,5,0,0,Team B,10,Puck Recovery,-10,-9.5,,,,,,,
10/13/2024,Team A,Team B,1,13:32,5,5,0,0,Team B,10,Incomplete Play,-18,-7.5,Indirect,,,,28,6,-38.5
10/13/2024,Team A,Team B,1,13:30,5,5,0,0,Team A,21,Puck Recovery,-12,-17.5,,,,,,,
10/13/2024,Team A,Team B,1,13:30,5,5,0,0,Team A,21,Dump In/Out,-19,-17.5,Retained,,,,,,
10/13/2024,Team A,Team B,1,13:30,5,5,0,0,Team A,21,Zone Entry,-19,-17.5,Dumped,,,,27,,
10/13/2024,Team A,Team B,1,13:26,5,5,0,0,Team A,15,Puck Recovery,-92,24.5,,,,,,,
10/13/2024,Team A,Team B,1,13:26,5,5,0,0,Team A,15,Incomplete Play,-92,24.5,Indirect,,,,21,-92,-7.5
10/13/2024,Team A,Team B,1,13:24,5,5,0,0,Team B,27,Takeaway,-95,-1.5,,,,,,,
10/13/2024,Team A,Team B,1,13:24,5,5,0,0,Team B,27,Incomplete Play,-96,-3.5,Direct,,,,10,-83,-14.5
10/13/2024,Team A,Team B,1,13:22,5,5,0,0,Team B,15,Puck Recovery,-96,14.5,,,,,,,
10/13/2024,Team A,Team B,1,13:20,5,5,0,0,Team B,15,Incomplete Play,-66,39.5,Indirect,,,,10,-11,22.5
10/13/2024,Team A,Team B,1,13:16,5,5,0,0,Team A,26,Puck Recovery,-7,39.5,,,,,,,
10/13/2024,Team A,Team B,1,13:14,5,5,0,0,Team A,26,Play,11,32.5,Direct,,,,7,37,33.5
10/13/2024,Team A,Team B,1,13:13,5,5,0,0,Team A,7,Play,40,31.5,Direct,,,,2,41,-17.5
10/13/2024,Team A,Team B,1,13:09,5,5,0,0,Team A,2,Play,49,-25.5,Direct,,,,3,43,37.5
10/13/2024,Team A,Team B,1,13:08,5,5,0,0,Team A,3,Incomplete Play,43,37.5,Direct,,,,28,14,-36.5
10/13/2024,Team A,Team B,1,13:02,5,5,0,0,Team A,28,Puck Recovery,-98,-16.5,,,,,,,
10/13/2024,Team A,Team B,1,13:02,5,5,0,0,Team A,28,Incomplete Play,-97,-11.5,Direct,,,,12,-52,3.5
10/13/2024,Team A,Team B,1,12:59,5,5,0,0,Team A,38,Puck Recovery,-33,-11.5,,,,,,,
